,주유소 이름,주소,Latitude,Longitude,휘발유 가격
149,동방석유(주)푸른주유소,부산 동래구 충렬대로 121 (온천동),35.2064321,129.0739197,1499
150,대일주유소,부산 동래구 충렬대로 124,35.2058571,129.0738774,1499
151,명장주유소,부산 동래구 반송로 303 (명장동),35.2067787,129.1027076,1499
152,(주)삼보명진주유소,부산 동래구 충렬대로 51 (온천동),35.2091953,129.0666421,1549
153,한창주유소,부산 동래구 우장춘로 56,35.2126238,129.0717236,1569
154,한길주유소 교대점 한솔유화㈜,부산 동래구 여고로 131 (사직동),35.1993273,129.0770425,1588
155,(주)대원에너지 대원주유소,부산 동래구 충렬대로 460  (안락동),35.1964797,129.1068334,1593
156,대경주유소,부산 동래구 반송로 185 (안락동),35.1979546,129.0957774,1597
157,온천주유소,부산 동래구 명륜로 2,35.2073343,129.083854,1598
158,안락교차로주유소,부산 동래구 충렬대로 330 (안락동),35.1986128,129.0947046,1638
159,보강주유소,부산 동래구  충렬대로 400 (안락동),35.1966824,129.1019319,1638
160,한양주유소,부산 동래구  충렬대로 300 (낙민동),35.1966791,129.0925668,1646
161,대원주유소,부산 동래구 미남로 38,35.1976716,129.0712633,1668
162,충렬주유소,부산 동래구 충렬대로 463,35.1955512,129.1089289,1668
163,(주)태화주유소,부산 부산진구 가야대로 402,35.1514155,129.016742,1559
164,대양주유소,부산 부산진구 새싹로 61-1 (부암동),35.1627565,129.0544095,1563
165,(주)주공에너지,부산 부산진구 백양대로 231,35.1571734,129.0253393,1569
166,진성주유소,부산 부산진구 백양대로 242,35.1571684,129.0242088,1569
167,동방석유(주)황령산주유소,부산 부산진구 황령대로 66 (전포동),35.1494307,129.066588,1573
168,스마일주유소,부산 부산진구 동평로 49,35.1651574,129.0347939,1578
169,남부산고속주유소,부산 부산진구 거제대로 84 (양정동),35.1760653,129.0680004,1579
170,가야주유소,부산 부산진구 가야대로552번길 39,35.1522897,129.0329398,1579
171,영우에너지 부전주유소,부산 부산진구 신천대로 132,35.1575276,129.0537631,1583
172,지에스칼텍스㈜케이제이주유소,부산광역시 부산진구  전포대로 178 (전포제3동),35.1512326,129.0633747,1589
173,동방석유(주)sk전포주유소,부산 부산진구 동천로 10 (전포동),35.1498219,129.0630783,1598
174,(주)우양네트웍스 하마정주유소,부산 부산진구 동평로 398,35.1740914,129.0683879,1599
175,광신석유(주)직영 양정주유소,부산 부산진구 동평로 361 (양정동),35.1693024,129.070139,1624
176,SK에너지(주) 연지오토self,부산 부산진구 동평로 239 (연지동),35.1718674,129.0514595,1624
177,백양주유소,부산 부산진구  백양대로 234 (개금동),35.1569372,129.0236485,1659
178,명품주유소 당감점,부산 부산진구 백양대로 78 (당감동),35.1585083,129.0473096,1689
179,럭키주유소,부산 부산진구 새싹로 230,35.1767161,129.0487014,1698
180,지에스칼텍스㈜ 성지주유소,부산 부산진구 동평로 289 (연지동),35.1716354,129.0583999,1699
181,한일주유소,부산 부산진구 백양순환로110번길 19 (부암동),35.1692068,129.0395274,1699
182,대흥주유소,부산 부산진구 동평로 21,35.1647618,129.0317616,1728
183,대명주유소,부산 부산진구 가야대로 523 (가야동),35.1539404,129.0292202,1838
184,삼보주유소/충전소,부산 북구 만덕대로 331 (만덕동),35.2134317,129.0409269,1549
185,(주)삼보부림SELF주유소,부산 북구 만덕대로 343 (만덕동),35.213545,129.0419109,1549
186,광신석유(주)직영 백양대로주유소,부산 북구 백양대로 995 (구포동),35.194768,128.9933507,1559
187,경덕주유소,부산 북구 시랑로 58 (구포동),35.2003935,129.0050883,1565
188,금곡대로주유소,부산 북구 금곡대로 712 (금곡동),35.2702178,129.018756,1569
189,화명신도시주유소,부산 북구 금곡대로 203,35.226961,129.0109356,1579
190,북부산셀프주유소,부산 북구 금곡대로 37,35.2133995,129.0038454,1579
191,(주)세일 금곡주유소,부산 북구 금곡대로 604 (금곡동),35.2615576,129.014573,1579
192,지에스칼텍스(주)구포셀프주유소,부산 북구 사상로 619 (구포동),35.1994107,128.9909222,1589
193,만복드림주유소,부산 북구 만덕대로 170,35.2130042,129.0233637,1599
194,성도주유소,부산 북구 낙동대로 1642,35.2021195,128.9932407,1616
195,SK에너지(주)두꺼비,부산 북구 금곡대로 362,35.2407267,129.0144127,1649
196,SK에너지㈜직영 삼진셀프주유소,부산 북구 의성로53번길 5,35.2161188,129.0092472,1649
197,무지개주유소,부산 북구 금곡대로 692,35.2681895,129.0182667,1669
198,동양가스산업(주)명품주유소,부산 북구 금곡대로 113 (덕천동),35.2150408,129.0101288,1689
199,SK에너지(주)신광셀프주유소,부산 북구 덕천로 275 (만덕동),35.2098903,129.0342436,1769
200,(주)가온에너지 더힘대로주유소,부산 사상구 낙동대로 1274 (삼락동),35.1739246,128.9770157,1548
201,우리주유소 (주)시블링스,부산 사상구 백양대로 701 (덕포동),35.1746452,128.9884548,1559
202,광신석유(주)직영 가야대로주유소,부산 사상구 가야대로 395,35.1508539,128.9946548,1559
203,스마트주유소,부산 사상구 가야대로 377,35.1516812,129.0139716,1559
204,용마주유소,부산 사상구 가야대로 329,35.1512467,129.008645,1559
205,에스알디㈜더리치주유소,부산 사상구 낙동대로 753 (엄궁동),35.1224262,128.9791369,1559
